codice,file,w,h,keep,elementi,item,item_w,item_h,dcol,dedge,ink,item_rot
BD23023,BD23023__solo.webp,1528,943,0.996,7,BD23023__item.webp,860,675,,,,
CE1061IT-0A,CE1061IT-0A__solo.webp,624,973,0.873,1,CE1061IT-0A__item.webp,577,900,60.14,0.1128,,
CE1061IT-0B,CE1061IT-0B__solo.webp,622,972,0.877,1,CE1061IT-0B__item.webp,575,900,60.14,0.1128,,
CE1061IT-0C,CE1061IT-0C__solo.webp,618,972,0.884,1,CE1061IT-0C__item.webp,572,900,60.14,0.1128,,
CE1061IT-0Q,CE1061IT-0Q__solo.webp,621,972,0.858,1,CE1061IT-0Q__item.webp,575,900,60.14,0.1128,,
CE1061IT-10,CE1061IT-10__solo.webp,625,977,0.878,1,CE1061IT-10__item.webp,575,900,60.14,0.1128,,
CE1061IT-1R,CE1061IT-1R__solo.webp,622,973,0.891,1,CE1061IT-1R__item.webp,575,900,60.14,0.1128,,
CE1061IT-4F,CE1061IT-4F__solo.webp,624,972,0.87,1,CE1061IT-4F__item.webp,577,900,60.14,0.1128,,
CE1061IT-4M,CE1061IT-4M__solo.webp,622,976,0.85,1,CE1061IT-4M__item.webp,573,900,60.14,0.1128,,
CE1061IT-5M,CE1061IT-5M__solo.webp,625,977,0.865,1,CE1061IT-5M__item.webp,575,900,60.14,0.1128,,
CE1064IT-0A,CE1064IT-0A__solo.webp,1198,928,0.916,4,CE1064IT-0A__item.webp,564,795,60.14,0.1128,,
CE1064IT-0B,CE1064IT-0B__solo.webp,1198,928,0.916,4,CE1064IT-0B__item.webp,564,795,60.14,0.1128,,
CE1064IT-0C,CE1064IT-0C__solo.webp,1497,939,1.0,5,CE1064IT-0C__item.webp,564,795,60.14,0.1128,,
CE1064IT-0Q,CE1064IT-0Q__solo.webp,1198,928,0.904,4,CE1064IT-0Q__item.webp,564,795,60.14,0.1128,,
CE1064IT-10,CE1064IT-10__solo.webp,1198,928,0.917,4,CE1064IT-10__item.webp,564,795,60.14,0.1128,,
CE1064IT-1R,CE1064IT-1R__solo.webp,1198,928,0.927,4,CE1064IT-1R__item.webp,564,795,60.14,0.1128,,
CE1064IT-4M,CE1064IT-4M__solo.webp,1198,928,0.895,4,CE1064IT-4M__item.webp,564,795,60.14,0.1128,,
CE1064IT-5M,CE1064IT-5M__solo.webp,1198,928,0.904,4,CE1064IT-5M__item.webp,564,795,60.14,0.1128,,
EX032,EX032__solo.webp,1544,947,0.951,10,EX032__item.webp,458,562,,,,
EX167-100IT,EX167-100IT__solo.webp,721,948,0.948,1,EX167-100IT__item.webp,548,900,,,,
HK57009,HK57009__solo.webp,1568,986,0.997,9,HK57009__item.webp,454,534,,,,
HK57013,HK57013__solo.webp,1568,987,1.0,5,HK57013__item.webp,844,282,,,,
HK57014,HK57014__solo.webp,1568,987,1.0,4,HK57014__item.webp,900,793,,,,
HK57020,HK57020__solo.webp,1566,987,1.0,11,HK57020__item.webp,730,506,,,,
KU40004,KU40004__solo.webp,1552,992,0.994,5,KU40004__item.webp,551,789,14.34,0.1189,,
KU40005,KU40005__solo.webp,1552,992,0.987,4,KU40005__item.webp,525,755,14.34,0.1189,,
KU57009,KU57009__solo.webp,1552,992,0.997,10,KU57009__item.webp,900,524,,,,
KU57013,KU57013__solo.webp,1540,992,1.0,6,KU57013__item.webp,796,384,,,,
KU57014,KU57014__solo.webp,1098,958,0.851,4,KU57014__item.webp,699,900,,,,
KU57020,KU57020__solo.webp,1551,991,0.997,12,KU57020__item.webp,193,421,,,,
MO001,MO001__solo.webp,1511,941,0.99,4,MO001__item.webp,900,568,,,,
MO013,MO013__solo.webp,1506,941,0.99,4,MO013__item.webp,900,515,,,,
MO248IT-01,MO248IT-01__solo.webp,1551,899,0.989,7,MO248IT-01__item.webp,163,227,47.59,0.1631,,
MO248IT-02,MO248IT-02__solo.webp,1568,938,0.988,8,MO248IT-02__item.webp,551,233,47.59,0.1631,,
MO248IT-03,MO248IT-03__solo.webp,1568,933,0.987,8,MO248IT-03__item.webp,557,239,47.59,0.1631,,
MO248IT-04,MO248IT-04__solo.webp,1568,933,0.989,8,MO248IT-04__item.webp,578,251,47.59,0.1631,,
MO248IT-05,MO248IT-05__solo.webp,1568,940,0.989,6,MO248IT-05__item.webp,900,630,47.59,0.1631,,
MO506-2,MO506-2__solo.webp,1532,943,0.985,4,MO506-2__item.webp,564,813,71.65,0.1154,,
MO506-3,MO506-3__solo.webp,1537,943,0.985,6,MO506-3__item.webp,547,823,71.65,0.1154,,
MO506-5,MO506-5__solo.webp,1529,941,0.985,4,MO506-5__item.webp,575,813,71.65,0.1154,,
MO506-6,MO506-6__solo.webp,1496,942,0.985,4,MO506-6__item.webp,567,818,71.65,0.1154,,
MO507-2,MO507-2__solo.webp,1553,941,0.993,4,MO507-2__item.webp,645,710,73.55,0.1447,,
MO507-3,MO507-3__solo.webp,1568,961,0.993,4,MO507-3__item.webp,630,736,73.55,0.1447,,
MO507-5,MO507-5__solo.webp,1525,960,0.993,4,MO507-5__item.webp,577,734,73.55,0.1447,,
MO507-6,MO507-6__solo.webp,1525,954,0.993,4,MO507-6__item.webp,576,728,73.55,0.1447,,
MO508-1,MO508-1__solo.webp,1525,947,0.983,4,MO508-1__item.webp,502,648,54.1,0.1088,,
MO508-2,MO508-2__solo.webp,1526,951,0.984,4,MO508-2__item.webp,526,654,54.1,0.1088,,
