ambito,chiave,campo,valore,nota
famiglia,ARCHIVIAZIONE::PC311,specs,dimensioni=240x310mm | formato=A4 | capacita=40 buste/fundas | materiale=PP (polipropilene) | codice_secondario=LF194527,
famiglia,ARCHIVIAZIONE::PC311,plus,Disponibile in 6 colori | Buste trasparenti interne | Dorso ampio per maggiore capacità,
famiglia,SCRITTURA&CORREZIONE::PE534VL-S,colori,giallo fluo | arancione fluo | rosa fluo | azzurro fluo | giallo pastello | rosa pastello | verde pastello | azzurro pastello,
famiglia,ARCHIVIAZIONE::MP CARTELLA LEMBI CHIUSURA ELASTICO COL. ASS.,colori,blu | azzurro | rosso | arancio | giallo | rosa | nero | verde,
famiglia,SCRITTURA&CORREZIONE::MP CORRETTORE A NASTRO X 3PZ COL. ASS.,colori,azzurro | rosso | verde | rosa/fucsia | blu | rosa | verde acqua | viola,
famiglia,SCRITTURA&CORREZIONE::MP CORRETTORE A PENNA 4PZ,colori,bianco/trasparente | bianco/azzurro,
famiglia,SCRITTURA&CORREZIONE::PA189,colori,blu | rosso,
famiglia,SCRITTURA&CORREZIONE::PA468-1,colori,verde petrolio/teal | oro/ambra | viola | turchese | rosa,
famiglia,SCRITTURA&CORREZIONE::PE504,colori,azzurro pastello | lilla pastello | rosa pastello | verde pastello,
famiglia,SCRITTURA&CORREZIONE::PE140,colori,nero | blu | rosso | verde | azzurro | verde lime | lilla | fucsia,
famiglia,SCRITTURA&CORREZIONE::PA425,nome,MP CORRETTORE A NASTRO ERGONOMICO 5MM X 8M 3PZ,
sottocategoria,SCRITTURA&CORREZIONE::CORRETTORI A NASTRO,intro,"Correttori a nastro per coprire errori in modo istantaneo, asciutto e senza tempi di attesa. Larghezza del nastro 5 mm e lunghezze da 6, 8 e 12 m nelle versioni Extra Largo, Mini tascabile ed Extra Lungo. Linea TWIN 2in1 che integra correttore e colla in un unico strumento, grip antiscivolo, formula non tossica. Disponibili anche in pack risparmio da 3 pezzi.",
